n	LCG-diff	LCG-time-mus	MT19937-diff	MT19937-time-mus
1000000	0.0195847	2.13652e+06	-0.000899346	268731
1000000	0.0183327	2.13017e+06	-0.00235935	274168
1000000	0.0178527	2.1501e+06	0.000780654	268144
1000000	0.0186887	2.17002e+06	-0.00280335	260691
1000000	0.0180727	2.39862e+06	0.00108465	298628
1000000	0.0200687	2.1406e+06	5.26536e-05	264666
1000000	0.0194847	1.98191e+06	-7.93464e-05	257989
1000000	0.0191287	2.08998e+06	0.00412465	268145
1000000	0.0189247	2.12785e+06	-0.000239346	269372
1000000	0.0174487	2.13682e+06	0.000280654	270576
1000000	0.0174567	2.1677e+06	-0.00171135	278701
1000000	0.0186847	2.13356e+06	-0.00308335	262444
1000000	0.0218367	2.27837e+06	0.000896654	268249
1000000	0.0204527	2.11389e+06	0.000764654	265204
1000000	0.0215687	2.19469e+06	-0.000539346	299334
1000000	0.0210327	2.06657e+06	-0.00124735	265794
1000000	0.0182127	2.11407e+06	-0.000803346	267081
1000000	0.0247727	2.14002e+06	0.000828654	270257
1000000	0.0171527	2.18466e+06	0.00264465	280815
1000000	0.0184407	2.13983e+06	0.000164654	266723
1000000	0.0177447	2.05228e+06	-0.00195935	268058
1000000	0.0139607	2.1274e+06	-0.00105135	263341
1000000	0.0199567	2.24091e+06	-8.33464e-05	267372
1000000	0.0185927	2.05574e+06	-0.00314335	262149
1000000	0.0149847	2.10777e+06	0.00202865	264532
1000000	0.0180847	2.13386e+06	0.00102065	260950
1000000	0.0184967	2.15915e+06	0.000468654	267288
1000000	0.0160247	2.34327e+06	-0.000331346	333958
1000000	0.0184047	2.14509e+06	-0.000235346	268340
1000000	0.0193847	2.1161e+06	-0.000371346	266992
1000000	0.0186927	1.90302e+06	0.000448654	264444
1000000	0.0181207	2.14492e+06	-0.000315346	263697
1000000	0.0160127	2.14269e+06	4.86536e-05	262653
1000000	0.0169567	2.14883e+06	0.00162465	259958
1000000	0.0163527	2.16617e+06	-0.000219346	261439
1000000	0.0169167	2.39007e+06	0.00259665	263009
1000000	0.0172247	2.18218e+06	0.00145665	267733
1000000	0.0191367	1.96956e+06	0.000728654	266963
1000000	0.0180087	2.14496e+06	0.00219265	268038
1000000	0.0193207	2.14282e+06	0.00116065	261181
1000000	0.0172847	2.14306e+06	-0.000335346	262625
1000000	0.0149607	2.14613e+06	0.00433665	260233
1000000	0.0180887	2.14148e+06	0.00235665	261071
1000000	0.0180927	2.39054e+06	-0.000599346	260286
1000000	0.0199207	2.17259e+06	-0.00290735	269754
1000000	0.0182527	2.10677e+06	-0.000767346	303616
1000000	0.0175767	2.13232e+06	-0.000315346	270354
1000000	0.0203327	2.1282e+06	0.000148654	260939
1000000	0.0174127	2.14051e+06	0.00151265	262736
1000000	0.0183567	2.14809e+06	0.00474465	260444
1000000	0.0208607	2.1465e+06	-0.000403346	259640
1000000	0.0222767	2.08611e+06	-0.00294335	263512
1000000	0.0175887	2.17651e+06	0.000716654	275483
1000000	0.0188207	2.15293e+06	-0.00514735	265163
1000000	0.0167087	2.1576e+06	-0.00162335	270107
1000000	0.0215487	2.1395e+06	0.000988654	260349
1000000	0.0200047	2.15051e+06	0.00138465	309327
1000000	0.0200847	2.12102e+06	0.00128865	263881
1000000	0.0171647	2.14168e+06	0.000980654	259174
1000000	0.0165807	2.29594e+06	0.000876654	265571
1000000	0.0194167	2.31755e+06	-1.53464e-05	275015
1000000	0.0213087	2.07717e+06	-0.000891346	272262
1000000	0.0172647	2.14289e+06	-0.00146735	275604
1000000	0.0201447	1.97682e+06	-0.000191346	311348
1000000	0.0213767	2.20203e+06	-0.000903346	268130
1000000	0.0164527	2.0931e+06	-0.00135935	259708
1000000	0.0199647	2.12362e+06	-0.00280735	260756
1000000	0.0175127	2.14218e+06	-0.000307346	268008
1000000	0.0220047	1.99015e+06	-0.00318735	265171
1000000	0.0206207	2.15038e+06	0.000664654	265566
1000000	0.0182767	2.1317e+06	-0.000735346	269868
1000000	0.0167367	2.44599e+06	0.00239265	261763
1000000	0.0185047	2.18954e+06	-0.000755346	274440
1000000	0.0213087	2.09884e+06	-0.000303346	255266
1000000	0.0182647	2.11921e+06	-0.00255535	262108
1000000	0.0188967	2.12818e+06	0.00378065	262969
1000000	0.0203407	2.14365e+06	0.00336865	272003
1000000	0.0191047	2.31985e+06	0.00300065	291746
1000000	0.0178887	2.13544e+06	0.000324654	273934
1000000	0.0126887	1.93471e+06	-0.00215135	292056
1000000	0.0149367	2.21702e+06	0.000560654	251527
1000000	0.0176887	2.17006e+06	-0.00105535	244875
1000000	0.0143567	2.09486e+06	0.00110865	260043
1000000	0.0169567	2.105e+06	-0.00148335	264190
1000000	0.0199127	2.13055e+06	0.000752654	268374
1000000	0.0191887	2.12462e+06	-0.00105135	273223
1000000	0.0186007	2.24534e+06	0.000788654	263332
1000000	0.0194847	2.12091e+06	-0.00391535	260290
1000000	0.0182087	2.27226e+06	0.000680654	240612
1000000	0.0193927	2.22096e+06	0.000468654	236590
1000000	0.0168447	2.05549e+06	-0.00381135	263835
1000000	0.0176207	2.07309e+06	-0.000843346	263056
1000000	0.0183207	2.09188e+06	-0.00299935	272485
1000000	0.0160967	1.99444e+06	0.00261665	281331
1000000	0.0162407	2.08983e+06	7.66536e-05	281661
1000000	0.0188927	2.28334e+06	0.000192654	261211
1000000	0.0159927	2.35174e+06	-0.00196735	232788
1000000	0.0184287	2.13295e+06	0.00335665	252829
1000000	0.0195887	2.31032e+06	-0.00294735	226723
1000000	0.0176847	2.06986e+06	-0.000195346	262082
1000000	0.0175607	1.91109e+06	-0.000551346	266202
1000000	0.0202167	2.07184e+06	-0.00240735	284606
1000000	0.0158927	2.05919e+06	-0.000703346	271740
1000000	0.0194207	2.28539e+06	0.00120465	262757
1000000	0.0194127	2.14797e+06	0.00239665	260340
1000000	0.0178687	2.42196e+06	0.00118465	213589
1000000	0.0165647	2.37156e+06	-0.00190735	212947
1000000	0.0233647	1.90776e+06	0.000568654	262290
1000000	0.0199087	2.02846e+06	-0.000719346	267209
1000000	0.0204887	2.06995e+06	-0.00146735	271425
1000000	0.0188007	2.2026e+06	-0.00310335	267368
1000000	0.0217327	2.10451e+06	-0.00167935	259928
1000000	0.0163207	2.0828e+06	0.00126065	259610
1000000	0.0163207	2.42207e+06	-0.00120735	212886
1000000	0.0161167	2.47007e+06	0.00120865	212810
1000000	0.0173407	2.17515e+06	0.00258865	250522
1000000	0.0149607	2.19504e+06	-0.00214335	275707
1000000	0.0201847	2.06019e+06	0.00136465	275022
1000000	0.0214047	2.06557e+06	-0.00104335	269687
1000000	0.0206847	1.85934e+06	-0.000315346	257181
1000000	0.0165927	2.03969e+06	-0.000599346	260623
1000000	0.0180047	2.16354e+06	0.00151665	263682
1000000	0.0164927	2.3771e+06	-0.00108735	226230
1000000	0.0179847	2.43593e+06	0.00391665	229043
1000000	0.0178647	2.08625e+06	-8.73464e-05	276931
1000000	0.0208007	2.21617e+06	0.00177265	282731
1000000	0.0184967	2.079e+06	0.00288865	272237
1000000	0.0197567	2.06282e+06	-0.000451346	259920
1000000	0.0192487	2.0614e+06	0.000768654	261339
1000000	0.0164247	2.0881e+06	0.00142865	265171
1000000	0.0165327	2.31415e+06	-0.000819346	257440
1000000	0.0207487	2.07869e+06	0.00186465	294366
1000000	0.0194007	2.35326e+06	0.00124865	332875
1000000	0.0178567	2.11673e+06	0.00136065	284114
1000000	0.0211687	2.08772e+06	0.000112654	280096
1000000	0.0119607	2.19295e+06	-0.00116735	272768
1000000	0.0136647	1.98596e+06	-0.00185535	260102
1000000	0.0130487	1.99094e+06	0.000408654	263017
1000000	0.0141487	2.16749e+06	-3.53464e-05	286475
1000000	0.0179047	2.05188e+06	0.00112465	289246
1000000	0.0191767	2.15977e+06	-0.00127935	283134
1000000	0.0214287	2.15659e+06	-0.00105135	276664
1000000	0.0182567	2.22457e+06	-1.13464e-05	299568
1000000	0.0180167	2.29568e+06	0.000724654	260445
1000000	0.0159167	2.04866e+06	-0.000551346	260752
1000000	0.0164287	2.06677e+06	3.26536e-05	262350
1000000	0.0174247	2.10059e+06	-0.00157935	279167
1000000	0.0253927	2.01974e+06	0.000216654	282321
1000000	0.0188967	2.15079e+06	-0.000243346	282557
1000000	0.0199447	2.15239e+06	-0.000279346	276905
1000000	0.0196647	2.19465e+06	0.00266465	271950
1000000	0.0174767	2.15572e+06	-0.000163346	257914
1000000	0.0221407	2.11638e+06	0.00389265	261605
1000000	0.0173367	2.12918e+06	0.00155665	263643
1000000	0.0211927	2.08602e+06	-0.000995346	261875
1000000	0.0208407	2.301e+06	-0.00119535	319371
1000000	0.0207727	2.14962e+06	0.00118465	284392
1000000	0.0173407	2.15435e+06	-0.00107535	280338
1000000	0.0184367	2.18951e+06	-0.00105135	291962
1000000	0.0170767	2.02712e+06	-0.00179535	252237
1000000	0.0119207	2.10337e+06	-0.00213135	259698
1000000	0.0117967	2.12365e+06	-0.000139346	263791
1000000	0.0161447	2.05403e+06	-0.000863346	260028
1000000	0.0173807	2.15242e+06	0.00186465	277452
1000000	0.0181967	2.15492e+06	-0.000967346	274769
1000000	0.0211407	2.38012e+06	0.000680654	310974
1000000	0.0157487	2.20668e+06	0.000444654	334802
1000000	0.0189527	2.09364e+06	0.00142465	233298
1000000	0.0166287	2.06701e+06	0.000112654	260048
1000000	0.0173607	2.08335e+06	0.00135665	262115
1000000	0.0169767	1.96333e+06	-0.00155135	259486
1000000	0.0174167	2.10281e+06	0.00332065	271113
1000000	0.0182847	2.09474e+06	0.000564654	267504
1000000	0.0170887	2.21729e+06	-0.000111346	286997
1000000	0.0173447	2.28475e+06	0.000156654	220162
1000000	0.0162727	2.4661e+06	-0.000663346	248134
1000000	0.0172887	2.11495e+06	-0.000303346	257888
1000000	0.0154007	2.06204e+06	-0.00110335	264700
1000000	0.0188727	1.98486e+06	-0.00172735	260447
1000000	0.0149927	2.05544e+06	0.00122065	273288
1000000	0.0176447	2.06276e+06	-0.000635346	269381
1000000	0.0183167	2.18785e+06	0.00121665	275422
1000000	0.0165967	2.2037e+06	0.00171265	261037
1000000	0.0166927	2.15851e+06	0.00175665	265507
1000000	0.0166207	2.35228e+06	0.00138465	308378
1000000	0.0148247	2.12782e+06	-0.000683346	265803
1000000	0.0144527	2.06647e+06	0.00149265	261811
1000000	0.0162527	2.1131e+06	0.000864654	273063
1000000	0.0160447	2.11934e+06	-0.00223135	269347
1000000	0.0181607	2.18512e+06	-0.00205535	277961
1000000	0.0193647	2.11612e+06	0.00146865	293950
1000000	0.0198247	2.14613e+06	0.00202465	269695
1000000	0.0179287	2.19179e+06	0.00202065	268753
1000000	0.0191407	2.13041e+06	0.00103665	266384
1000000	0.0160167	2.0631e+06	0.000444654	263389
1000000	0.0209927	2.09774e+06	0.000952654	271701
1000000	0.0203807	2.11044e+06	7.26536e-05	268485
1000000	0.0196087	2.19673e+06	0.00206065	276839
1000000	0.0190567	2.13864e+06	-0.00547935	266543
1000000	0.0175007	2.35294e+06	-0.00179935	243448
1000000	0.0164087	2.17077e+06	-0.00295935	275626
1000000	0.0166967	2.1059e+06	0.000864654	269117
1000000	0.0180047	2.0357e+06	0.00123265	265408
1000000	0.0170687	2.07033e+06	-9.13464e-05	271199
1000000	0.0168007	2.07838e+06	-0.00162735	268063
1000000	0.0161087	2.1604e+06	0.000196654	275334
1000000	0.0191007	2.13599e+06	-0.000539346	270392
1000000	0.0219967	2.0968e+06	-0.000199346	282927
1000000	0.0158407	2.41382e+06	-0.000327346	281997
1000000	0.0178567	2.10855e+06	0.00105265	275390
1000000	0.0206087	2.05225e+06	0.00126065	270523
1000000	0.0178407	2.04777e+06	2.06536e-05	271475
1000000	0.0161327	2.06778e+06	0.00109265	268033
1000000	0.0176527	2.1212e+06	-0.00253935	276438
1000000	0.0198047	2.12526e+06	-0.00272735	270937
1000000	0.0166487	2.15896e+06	0.000648654	261871
1000000	0.0198247	2.13741e+06	0.000600654	270776
