steps-until-comeback
1
1
0
1
0
5
0
0
1
0
1
1
1
1
0
0
5
0
3
0
19
0
5
1
0
0
11
0
3
1
1
1
3
1
0
1
0
0
3
1
0
1
0
1
1
1
0
0
0
1
0
3
5
1
0
0
1
0
0
0
0
1
1
0
1
0
0
0
0
1
1
1
0
0
3
1
1
0
0
11
1
1
0
0
19
15
1
5
1
5
1
0
5
5
0
1
3
0
3
1
1
1
0
1
0
11
0
3
1
1
0
0
0
0
1
0
0
1
0
0
1
1
0
9
0
0
0
0
1
1
0
0
0
0
0
1
0
3
1
1
3
0
0
0
5
0
1
1
0
0
1
7
0
0
5
1
0
1
0
0
1
1
1
0
1
5
1
1
1
0
1
0
1
1
0
0
0
1
1
0
1
1
0
5
0
3
0
0
0
0
1
3
0
0
0
0
0
0
0
0
1
0
0
0
5
0
0
0
3
0
0
1
1
15
3
3
0
1
0
0
0
0
0
1
1
0
0
0
3
0
1
0
0
1
0
7
0
0
0
1
0
1
0
1
0
1
3
5
1
3
0
0
0
0
0
1
1
1
0
1
1
1
15
1
0
1
1
1
0
17
5
0
0
0
1
0
1
1
3
0
1
23
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
1
0
0
0
1
1
1
1
1
0
0
3
9
1
0
0
0
0
0
3
0
1
0
0
0
1
0
1
1
5
0
0
0
0
1
0
0
1
0
0
0
1
0
0
0
0
0
0
1
1
15
7
0
0
0
0
1
7
1
0
0
1
0
0
0
1
1
1
3
0
1
0
1
1
1
5
0
5
1
0
0
3
0
1
0
1
0
0
0
0
0
0
11
0
0
0
0
0
0
0
0
0
1
0
1
7
1
0
0
0
3
1
0
1
0
0
0
1
0
0
0
0
0
0
3
0
0
0
1
0
1
0
0
0
1
1
0
1
7
0
1
1
3
35
1
3
0
1
1
0
0
3
0
7
0
0
0
0
0
0
0
0
1
0
0
0
1
1
0
1
0
0
11
0
0
0
0
0
0
1
0
31
0
0
0
0
0
0
0
39
0
0
1
1
0
1
1
1
3
1
1
1
1
1
3
5
0
0
1
1
1
1
11
15
1
3
1
0
1
3
1
7
0
1
1
0
0
1
0
0
1
1
19
0
1
0
1
0
1
1
0
1
0
0
0
1
0
1
0
27
0
0
1
1
0
7
0
1
1
1
1
0
1
3
0
1
0
9
27
0
0
0
15
1
7
1
3
0
1
1
0
1
0
0
1
0
0
1
21
7
1
5
1
15
1
0
1
3
3
7
1
7
0
1
11
0
1
3
0
15
1
0
1
7
3
0
1
0
3
0
0
0
0
0
0
0
1
0
0
1
0
1
7
0
0
0
0
1
1
0
1
1
1
0
1
0
11
9
1
1
1
1
1
1
0
0
1
7
1
0
1
0
1
0
1
0
1
1
0
1
0
1
0
0
1
0
0
0
1
0
1
0
0
0
0
3
0
1
0
0
0
0
1
0
1
1
1
1
0
0
0
1
0
0
0
1
5
0
1
1
0
1
1
3
0
3
0
1
0
1
0
3
1
0
0
0
9
5
1
1
0
0
1
0
0
0
0
1
0
1
3
0
0
1
1
1
0
1
0
3
1
0
0
0
1
3
1
0
0
0
0
0
1
1
0
